1.1.1.setup-new-project.sh;Sunday 17 November 2024 09:15:36 PM IST
1.2.1.setup-confirm-config.sh;Sunday 17 November 2024 09:17:32 PM IST
1.3.1.setup-project-dirs.sh;Sunday 17 November 2024 09:17:36 PM IST
1.4.1.setup-gen-clips.sh;Sunday 17 November 2024 09:17:40 PM IST
1.5.1.setup-project-backups.sh;Sunday 17 November 2024 09:17:43 PM IST
2.1.1.scans-monitor-dump.sh;Sunday 17 November 2024 09:17:48 PM IST
2.1.2.scans-check-all-venueids.sh;Sunday 17 November 2024 09:18:08 PM IST
2.2.1.scans-link-to-pageids.sh;Sunday 17 November 2024 09:18:13 PM IST
2.3.1.scans-sizeup-pages.sh;Sunday 17 November 2024 09:18:16 PM IST
2.3.2.scans-stamp-blank-pages.sh;Sunday 17 November 2024 09:18:20 PM IST
3.1.1.xtrapages-make-tex.sh;Sunday 17 November 2024 09:18:26 PM IST
3.1.2.xtrapages-rank-tex.sh;Sunday 17 November 2024 09:18:27 PM IST
3.3.1.xtrapages-grab-marks.sh;Sunday 17 November 2024 09:40:22 PM IST
4.1.1.graders-make-tex.sh;Sunday 17 November 2024 09:40:25 PM IST
4.1.2.graders-rank-tex.sh;Sunday 17 November 2024 09:40:29 PM IST
4.8.1.graders-find-progress.sh;Sunday 17 November 2024 09:40:50 PM IST
x16.cron-backup-puddle.sh;Mon Nov 18 00:00:01 IST 2024
x17.cron-backup-cloud.sh;Mon Nov 18 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Mon Nov 18 08:00:02 IST 2024
x17.cron-backup-cloud.sh;Mon Nov 18 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Mon Nov 18 16:00:01 IST 2024
x16.cron-backup-puddle.sh;Tue Nov 19 00:00:01 IST 2024
x17.cron-backup-cloud.sh;Tue Nov 19 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Tue Nov 19 08:00:01 IST 2024
x17.cron-backup-cloud.sh;Tue Nov 19 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Tue Nov 19 16:00:01 IST 2024
x17.cron-backup-cloud.sh;Wed Nov 20 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Wed Nov 20 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Wed Nov 20 08:00:01 IST 2024
x17.cron-backup-cloud.sh;Wed Nov 20 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Wed Nov 20 16:00:01 IST 2024
x17.cron-backup-cloud.sh;Thu Nov 21 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Thu Nov 21 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Thu Nov 21 08:00:01 IST 2024
x17.cron-backup-cloud.sh;Thu Nov 21 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Thu Nov 21 16:00:01 IST 2024
x17.cron-backup-cloud.sh;Fri Nov 22 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Fri Nov 22 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Fri Nov 22 08:00:01 IST 2024
x17.cron-backup-cloud.sh;Fri Nov 22 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Fri Nov 22 16:00:01 IST 2024
4.8.1.graders-find-progress.sh;Friday 22 November 2024 07:21:36 PM IST
x16.cron-backup-puddle.sh;Sat Nov 23 00:00:01 IST 2024
x17.cron-backup-cloud.sh;Sat Nov 23 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Sat Nov 23 08:00:01 IST 2024
x17.cron-backup-cloud.sh;Sat Nov 23 12:00:01 IST 2024
x16.cron-backup-puddle.sh;Sat Nov 23 16:00:01 IST 2024
x16.cron-backup-puddle.sh;Sun Nov 24 00:00:01 IST 2024
x17.cron-backup-cloud.sh;Sun Nov 24 00:00:01 IST 2024
x16.cron-backup-puddle.sh;Sun Nov 24 08:00:01 IST 2024
